year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1972.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Kalevi Oikarainen,96000,FIN,,,False,
1952.0,Winter,Cross Country Skiing (Skiing),"18 kilometres, Men (Olympic)",Toivo Oikarinen,96001,FIN,,10.0,False,
1994.0,Winter,Figure Skating (Skating),"Singles, Men (Olympic)",Fumihiro Oikawa,96002,JPN,,22.0,False,
1932.0,Winter,Figure Skating (Skating),"Singles, Men (Olympic)",Kazuyoshi Oimatsu,96003,JPN,,9.0,False,
1936.0,Winter,Figure Skating (Skating),"Singles, Men (Olympic)",Kazuyoshi Oimatsu,96003,JPN,,20.0,False,
1932.0,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men (Olympic)",Casper Oimoen,96004,USA,,5.0,False,
1932.0,Winter,Ski Jumping (Skiing),Nordic Combined (Skiing),Casper Oimoen,96004,USA,USA,,True,
1932.0,Winter,Ski Jumping (Skiing),"Individual, Men (Olympic)",Casper Oimoen,96004,USA,,,False,
1936.0,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men (Olympic)",Casper Oimoen,96004,USA,,13.0,False,
1992.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Kristjan Oja,96005,EST,,57.0,False,
1936.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Antero Ojala,96006,FIN,,8.0,True,
1936.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Antero Ojala,96006,FIN,,9.0,True,
1936.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Antero Ojala,96006,FIN,,3.0,False,Bronze
1936.0,Winter,Speed Skating (Skating),"10,000 metres, Men (Olympic)",Antero Ojala,96006,FIN,,7.0,False,
1948.0,Winter,Speed Skating (Skating),"500 metres, Men (Olympic)",Antero Ojala,96006,FIN,,14.0,True,
1948.0,Winter,Speed Skating (Skating),"1,500 metres, Men (Olympic)",Antero Ojala,96006,FIN,,12.0,False,
1948.0,Winter,Speed Skating (Skating),"5,000 metres, Men (Olympic)",Antero Ojala,96006,FIN,,26.0,False,
1988.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Janne Ojanen,96007,FIN,Finland,2.0,False,Silver
1994.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Janne Ojanen,96007,FIN,Finland,3.0,False,Bronze
1992.0,Winter,Biathlon,"10 kilometres Sprint, Men (Olympic)",Kalju Ojaste,96008,EST,,59.0,False,
1992.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Kalju Ojaste,96008,EST,,37.0,False,
1992.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men (Olympic)",Kalju Ojaste,96008,EST,Estonia,11.0,False,
1994.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Kalju Ojaste,96008,EST,,69.0,False,
1994.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men (Olympic)",Kalju Ojaste,96008,EST,Estonia,13.0,False,
1998.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Kalju Ojaste,96008,EST,,44.0,False,
1998.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men (Olympic)",Kalju Ojaste,96008,EST,Estonia,13.0,False,
1994.0,Winter,Ski Jumping (Skiing),"Normal Hill, Individual, Men (Olympic)",Takanobu Okabe,96009,JPN,,9.0,False,
1994.0,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men (Olympic)",Takanobu Okabe,96009,JPN,,4.0,False,
1994.0,Winter,Ski Jumping (Skiing),"Large Hill, Team, Men (Olympic)",Takanobu Okabe,96009,JPN,Japan,2.0,False,Silver
1998.0,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men (Olympic)",Takanobu Okabe,96009,JPN,,6.0,False,
1998.0,Winter,Ski Jumping (Skiing),"Large Hill, Team, Men (Olympic)",Takanobu Okabe,96009,JPN,Japan,1.0,False,Gold
2006.0,Winter,Ski Jumping (Skiing),"Normal Hill, Individual, Men (Olympic)",Takanobu Okabe,96009,JPN,,23.0,True,
2006.0,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men (Olympic)",Takanobu Okabe,96009,JPN,,8.0,False,
2006.0,Winter,Ski Jumping (Skiing),"Large Hill, Team, Men (Olympic)",Takanobu Okabe,96009,JPN,Japan,6.0,False,
1988.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men (Olympic)",Tetsuya Okabe,96010,JPN,,28.0,False,
1988.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Tetsuya Okabe,96010,JPN,,12.0,False,
1992.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Tetsuya Okabe,96010,JPN,,18.0,False,
1994.0,Winter,Alpine Skiing (Skiing),"Slalom, Men (Olympic)",Tetsuya Okabe,96010,JPN,,,False,
1984.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Hiroshi Okachi,96011,JPN,Yuji Yaku,20.0,False,
